Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
DHRS7B		1	1	200	0.5%	No
CACNA1S		3	3	597	0.5%	No
TFAP2A		2	2	1525	0.1%	No
SYT5		1	1	200	0.5%	No
SYT4		2	2	1525	0.1%	No
PDHA2		1	1	200	0.5%	No
UBE2H		1	1	200	0.5%	No
SYT3		1	1	200	0.5%	No
VCAM1		3	3	597	0.5%	No
TFAP2D		3	3	1525	0.2%	No
SYT1		3	3	597	0.5%	No
GVQW1		2	2	1525	0.1%	No
TJAP1		5	4	597	0.7%	No
TMEM231		3	3	597	0.5%	No
HIGD2A		2	2	1525	0.1%	No
SYT6		1	1	200	0.5%	No
TMEM232		4	4	1525	0.3%	No
OR2AJ1		3	3	597	0.5%	No
CCPG1		3	3	1725	0.2%	No
TMEM238		1	1	150	0.7%	No
BHLHE40		1	1	200	0.5%	No
FBN1		4	4	597	0.7%	No
PHTF2		4	4	1525	0.3%	No
LDB1		1	1	200	0.5%	No
ADAR		3	3	1725	0.2%	No
LDB3		2	2	1525	0.1%	No
PHTF1		1	1	200	0.5%	No
GHR		3	3	1725	0.2%	No
ADAL		2	2	1525	0.1%	No
TMEM221		4	4	1525	0.3%	No
MAN1A2		1	1	150	0.7%	No
DACT2		2	2	1525	0.1%	No
MAN1A1		1	1	150	0.7%	No
ARFGEF3		3	3	1725	0.2%	No
DACT1		4	4	1525	0.3%	No
TGIF1		1	1	200	0.5%	No
NAMPTP1		2	2	1525	0.1%	No
IGLV4-69		1	1	200	0.5%	No
GREM2		3	3	597	0.5%	No
SETBP1		30	25	2122	1.2%	Yes
RER1		2	2	1525	0.1%	No
TMEM214		2	2	1525	0.1%	No
TMEM217		1	1	200	0.5%	No
OR2B11		1	1	200	0.5%	No
MAN1B1		1	1	200	0.5%	No
MS4A1		1	1	200	0.5%	Yes
ATP6V1B1		3	3	1725	0.2%	No
AGPAT5		2	2	1525	0.1%	No
RAP1GDS1		4	4	597	0.7%	Yes
OR5M1		3	3	597	0.5%	No
ADD3		1	1	200	0.5%	No
GK2		1	1	200	0.5%	No
TMEM202		2	2	1525	0.1%	No
SPOCK2		4	4	1525	0.3%	No
MKNK1		1	1	200	0.5%	Yes
SPOCK3		2	2	1525	0.1%	No
SPOCK1		2	2	1525	0.1%	No
TMEM209		1	1	200	0.5%	No
ENTR1		2	2	1525	0.1%	No
FBRS		2	2	622	0.3%	No
ATF7IP		5	5	597	0.8%	No
IGKV5-2		1	1	200	0.5%	No
ZNF804B		2	2	1525	0.1%	No
EPOR		1	1	200	0.5%	Yes
C19ORF81		2	2	1525	0.1%	No
REST		1	1	200	0.5%	Yes
C19ORF84		2	2	1525	0.1%	No
KRAS		105	103	2272	4.5%	Yes
ACKR2		1	1	200	0.5%	No
ACKR1		4	4	1525	0.3%	No
GLA		2	2	1525	0.1%	No
SNTB1		4	4	1525	0.3%	No
MAP10		2	2	1525	0.1%	No
GLS		2	2	200	1.0%	No
EPS8		1	1	200	0.5%	No
NYNRIN		1	1	200	0.5%	No
CDK5RAP1		1	1	200	0.5%	No
AP1S1		2	2	1525	0.1%	No
AP1S3		2	2	1525	0.1%	No
CDK5RAP2		4	4	1525	0.3%	No
C2ORF80		1	1	200	0.5%	No
ADGB		4	4	1525	0.3%	No
MAP1S		2	2	1525	0.1%	No
GML		1	1	200	0.5%	No
REV1		3	3	1675	0.2%	No
GTPBP3		2	2	1525	0.1%	No
MAP1B		9	9	2122	0.4%	No
MAP1A		2	2	1525	0.1%	No
GNE		3	3	1725	0.2%	No
ANAPC15		1	1	200	0.5%	No
SEH1L		1	1	200	0.5%	No
XPC		1	1	200	0.5%	Yes
GNS		1	1	200	0.5%	No
ADH5		2	2	1525	0.1%	No
ACMSD		2	2	1525	0.1%	No
LDHC		1	1	200	0.5%	No
LDHB		1	1	200	0.5%	No
PCDHA1		4	4	597	0.7%	No
PCDHA5		1	1	200	0.5%	No
PCDHA4		6	6	747	0.8%	No
HMOX1		2	2	1525	0.1%	No
GSG1L		4	4	1525	0.3%	No
PCDHA3		1	1	200	0.5%	No
IGHA1		4	4	1525	0.3%	No
PCDHA8		3	3	597	0.5%	No
PROM2		1	1	200	0.5%	No
DMPK		5	5	1525	0.3%	No
TPRG1		4	4	597	0.7%	No
SETD1B		4	4	1525	0.3%	Yes
GP2		2	2	1525	0.1%	No
GP6		1	1	200	0.5%	No
PCDHB2		1	1	150	0.7%	No
PCDHB1		3	3	597	0.5%	No
PCDHB6		4	4	597	0.7%	No
PPT1		1	1	200	0.5%	No
PCDHB5		2	2	200	1.0%	No
MMS19		2	2	1525	0.1%	No
PCDHB3		3	3	597	0.5%	No
PCDHB8		1	1	200	0.5%	No
PCDHB7		1	1	200	0.5%	No
GPI		2	2	200	1.0%	No
GMEB1		3	3	200	1.5%	No
ARPC1B		2	2	1525	0.1%	No
ARPC1A		1	1	200	0.5%	No
TEAD3		2	2	1525	0.1%	No
ADIG		3	3	200	1.5%	No
TERF1		1	1	200	0.5%	No
TERF2		1	1	200	0.5%	No
NCOR2		1	1	200	0.5%	Yes
FAM210B		1	1	200	0.5%	No
FAM210A		2	2	1525	0.1%	No
TAF6L		1	1	200	0.5%	No
AEBP2		4	4	1525	0.3%	No
TMSB15A		1	1	200	0.5%	No
PLEKHO1		1	1	200	0.5%	No
MGLL		1	1	200	0.5%	No
TRAV9-2		4	4	1525	0.3%	No
TIMM9		1	1	200	0.5%	No
SGMS2		2	2	1525	0.1%	No
APOLD1		1	1	150	0.7%	No
SCAF8		6	6	597	1.0%	No
EPYC		2	2	1525	0.1%	No
ATP5MF-PTCD1		1	1	200	0.5%	No
TAF9B		1	1	200	0.5%	No
RUNX1T1		5	5	597	0.8%	Yes
CSNK1A1		5	5	1725	0.3%	No
GSS		1	1	150	0.7%	No
SCAF1		9	9	1525	0.6%	No
SLC8A3		1	1	200	0.5%	No
SMOC2		5	5	2122	0.2%	No
MKLN1		2	2	1525	0.1%	No
SMOC1		2	2	1525	0.1%	No
ADM2		2	2	1525	0.1%	No
TMEM39A		1	1	200	0.5%	No
NUCB2		1	1	200	0.5%	No
ANKRD13C		1	1	200	0.5%	No
CCT8L2		2	2	200	1.0%	No
PLXND1		4	4	597	0.7%	No
PRORP		3	3	1725	0.2%	No
SYAP1		1	1	200	0.5%	No
RPL10A		2	2	1525	0.1%	No
VIRMA		2	2	1525	0.1%	No
SLC8A1		2	2	1525	0.1%	No
CDC14A		4	4	1875	0.2%	No
SLC8A2		7	7	1725	0.4%	No
CEP128		4	4	1725	0.2%	No
HID1		2	2	1525	0.1%	No
CDC14B		1	1	200	0.5%	No
IGHG3		1	1	200	0.5%	No
IGHG4		1	1	200	0.5%	No
IGHG2		2	2	1525	0.1%	No
SALL1		5	5	1525	0.3%	No
SALL3		5	5	1725	0.3%	No
SALL4		4	4	1525	0.3%	Yes
PHYHD1		2	2	1525	0.1%	No
SLC39A6		1	1	200	0.5%	No
SLC39A5		3	3	597	0.5%	No
PLXNC1		3	3	1725	0.2%	No
SLC39A7		1	1	200	0.5%	No
SLC39A2		1	1	200	0.5%	No
ANKRD13A		4	4	747	0.5%	No
SLC39A4		1	1	150	0.7%	No
PLEKHJ1		2	2	1525	0.1%	No
PCDHAC1		1	1	200	0.5%	No
TLE4		1	1	200	0.5%	Yes
RARS2		1	1	150	0.7%	No
TLE3		1	1	200	0.5%	Yes
RAB2B		1	1	200	0.5%	No
MIX23		3	3	1725	0.2%	No
SNRPN		3	3	1725	0.2%	No
TLE1		2	2	1525	0.1%	Yes
RARS1		2	2	200	1.0%	No
CEP131		2	2	1525	0.1%	No
SPICE1		2	2	1525	0.1%	No
TTC21A		2	2	200	1.0%	No
TRGV9		1	1	200	0.5%	No
TLE6		3	3	597	0.5%	No
TRGV5		2	2	1525	0.1%	No
TLE5		1	1	150	0.7%	No
RAB32		1	1	200	0.5%	No
ILF3		3	3	1725	0.2%	No
ADNP		4	4	597	0.7%	No
SNRPA		1	1	150	0.7%	No
SNRPB		2	2	1525	0.1%	No
CSNK1G1		1	1	200	0.5%	No
BRSK1		1	1	200	0.5%	Yes
BRSK2		2	2	1525	0.1%	No
AEBP1		2	2	1525	0.1%	No
PLXNA2		6	5	1725	0.3%	No
SRGAP3		2	2	1525	0.1%	No
PLXNA4		12	12	2122	0.6%	No
AP1M1		6	6	2122	0.3%	No
EIF2B5		1	1	200	0.5%	No
EIF2B3		1	1	200	0.5%	No
CEP112		1	1	200	0.5%	No
YJU2		1	1	150	0.7%	No
LRFN3		6	6	597	1.0%	No
LRFN2		5	5	1725	0.3%	No
P4HA1		2	2	1525	0.1%	No
P4HA2		1	1	200	0.5%	No
P4HA3		2	2	1525	0.1%	No
PLXNB3		2	2	1525	0.1%	No
SLC26A7		2	2	1525	0.1%	No
CSPG5		1	1	200	0.5%	No
PLXNB2		1	1	150	0.7%	No
CSPG4		3	3	597	0.5%	No
PLXNB1		4	4	1525	0.3%	No
SLC26A9		3	3	200	1.5%	No
SLC26A3		1	1	200	0.5%	No
SLC26A6		4	3	1725	0.2%	No
CEP164		1	1	200	0.5%	No
PIK3C2A		2	2	200	1.0%	No
PIK3C2B		4	4	1525	0.3%	Yes
AP1G2		3	3	597	0.5%	No
AP1G1		1	1	200	0.5%	No
WDR5		1	1	200	0.5%	No
TLK1		2	2	1525	0.1%	No
WDR6		1	1	200	0.5%	No
CEP170		6	6	2122	0.3%	No
WDR7		4	4	1525	0.3%	No
SLC13A1		7	7	2122	0.3%	No
SLC13A2		2	2	1525	0.1%	No
CIMAP2		2	1	200	0.5%	No
RFC3		6	6	597	1.0%	No
PLEKHG1		4	4	1725	0.2%	No
SLC13A3		5	5	1725	0.3%	No
ADSL		3	3	350	0.9%	No
PLEKHG2		6	6	2122	0.3%	No
RFC4		3	3	1725	0.2%	No
SLC13A4		2	2	200	1.0%	No
RFC1		8	8	2122	0.4%	No
PLEKHG7		2	2	1525	0.1%	No
CEMIP2		4	4	1725	0.2%	No
CHPF2		2	2	1525	0.1%	No
PLEKHG5		2	2	1525	0.1%	No
PLEKHG6		8	8	1725	0.5%	No
TFDP1		2	2	1525	0.1%	No
CATSPERB		6	5	1725	0.3%	No
CATSPERE		6	6	1525	0.4%	No
SKIC2		1	1	200	0.5%	No
SKIC3		2	2	1525	0.1%	No
CATSPERD		1	1	200	0.5%	No
MTFR1		1	1	200	0.5%	No
MTFR2		5	5	200	2.5%	No
CATSPER1		1	1	200	0.5%	No
CATSPER3		1	1	200	0.5%	No
CATSPER2		2	2	1525	0.1%	No
CATSPER4		3	3	597	0.5%	No
SELENBP1		4	4	597	0.7%	No
P2RY6		2	1	200	0.5%	No
RAB25		3	3	597	0.5%	No
P2RY2		8	8	2122	0.4%	No
RAB23		3	3	597	0.5%	No
RAB24		1	1	200	0.5%	No
RAB28		1	1	200	0.5%	No
RFFL		1	1	200	0.5%	No
PLEKHH1		8	8	597	1.3%	No
ANGPT4		2	2	1525	0.1%	No
PPIL2		2	2	1525	0.1%	No
ANGPT1		2	2	1525	0.1%	No
KRR1		4	4	1525	0.3%	No
FBXL19		7	7	1725	0.4%	No
FBXL17		6	6	1525	0.4%	No
FBXL13		1	1	200	0.5%	No
P2RX7		1	1	200	0.5%	No
TNRC6C		1	1	200	0.5%	No
TAFA4		5	5	2122	0.2%	No
SNRNP40		1	1	200	0.5%	No
RAB14		1	1	200	0.5%	No
RAB15		3	3	597	0.5%	No
TLL2		6	6	1525	0.4%	Yes
CEP162		3	3	1725	0.2%	No
SNRNP48		3	3	200	1.5%	No
RAB17		3	3	597	0.5%	No
PPIL4		9	9	1725	0.5%	No
TNRC6A		1	1	200	0.5%	No
TNRC6B		4	4	1525	0.3%	No
TRAF3IP2		1	1	200	0.5%	No
GFI1		1	1	200	0.5%	No
PPP2R2A		3	3	200	1.5%	Yes
CALML4		1	1	200	0.5%	No
C10ORF120		4	4	597	0.7%	No
PPP2R1B		1	1	200	0.5%	No
KAT8		4	4	1675	0.2%	No
TKTL1		2	2	1525	0.1%	No
ATP6V0E1		2	2	1525	0.1%	No
KRT4		1	1	200	0.5%	No
FLT3LG		2	2	1525	0.1%	No
DLEC1		3	3	1725	0.2%	No
ESCO2		3	3	597	0.5%	Yes
KRT5		2	2	1525	0.1%	No
DNA2		6	6	1725	0.3%	No
TLN2		10	10	1525	0.7%	No
TLN1		2	2	1525	0.1%	No
SPTBN4		1	1	200	0.5%	No
FUT10		1	1	200	0.5%	No
TP53BP2		4	4	200	2.0%	No
ATP6V0A4		2	2	1525	0.1%	No
TNRC18		10	9	1725	0.5%	No
TP53BP1		2	2	1525	0.1%	Yes
CCR10		1	1	200	0.5%	No
SPTBN1		1	1	200	0.5%	No
SPTBN2		3	3	1725	0.2%	No
ATP6V0A1		1	1	200	0.5%	No
VASP		1	1	200	0.5%	No
SETDB1		1	1	200	0.5%	Yes
SETDB2		2	2	1525	0.1%	Yes
PYCR1		2	2	1525	0.1%	No
TPRX1		15	15	1525	1.0%	No
HAL		1	1	200	0.5%	No
FUBP1		2	2	1525	0.1%	Yes
CCSER1		2	2	200	1.0%	No
CD320		3	3	597	0.5%	No
COL18A1		2	2	350	0.6%	No
HIP1		1	1	200	0.5%	Yes
CITED4		5	4	1675	0.2%	No
NKAP		2	2	1525	0.1%	No
LIMD1		1	1	200	0.5%	No
SH3PXD2A		2	2	1525	0.1%	No
DNER		2	2	1525	0.1%	No
TINAG		4	4	1725	0.2%	No
RALGPS1		1	1	200	0.5%	No
RALGPS2		5	5	200	2.5%	No
TOP3B		6	6	597	1.0%	No
VAV3		1	1	200	0.5%	No
KRTAP9-3		1	1	200	0.5%	No
TOP3A		1	1	200	0.5%	No
GPBAR1		1	1	200	0.5%	No
GFRA1		2	2	1525	0.1%	No
PROX1		3	3	1525	0.2%	No
CBFA2T2		1	1	150	0.7%	No
CBFA2T3		2	2	1525	0.1%	Yes
VAV1		1	1	200	0.5%	Yes
TLR1		4	4	1525	0.3%	No
HCK		4	4	1725	0.2%	No
TLR8		4	2	1525	0.1%	No
TLR7		2	2	200	1.0%	No
TLR4		3	3	597	0.5%	No
TLR3		2	2	1525	0.1%	No
TLR2		3	3	1725	0.2%	No
GUCY2C		3	3	597	0.5%	No
GUCY2D		3	3	597	0.5%	No
ZNF8		1	1	200	0.5%	No
NKD2		2	2	1525	0.1%	No
PSMC3IP		1	1	200	0.5%	No
LIMA1		6	6	2122	0.3%	No
HIRA		2	2	1525	0.1%	Yes
DUOX1		9	9	1725	0.5%	No
KIAA0513		2	2	200	1.0%	No
APBB2		4	4	1525	0.3%	No
APBB1		3	3	1725	0.2%	No
SPTSSA		2	2	1525	0.1%	No
GABRE		2	2	1525	0.1%	No
KANSL1L		5	5	1725	0.3%	No
APBB3		3	3	1725	0.2%	No
HDX		1	1	200	0.5%	No
OR4B1		3	3	597	0.5%	No
GABRQ		2	2	1525	0.1%	No
ATP5PD		1	1	200	0.5%	No
SORBS2		2	2	1525	0.1%	No
VAX1		1	1	200	0.5%	No
VAX2		2	2	1525	0.1%	No
RAB11B		3	3	1725	0.2%	No
CT47B1		5	5	1725	0.3%	No
CAPZA2		2	2	1525	0.1%	No
APBA1		2	2	1525	0.1%	No
APBA3		2	2	1525	0.1%	No
APBA2		1	1	200	0.5%	No
FCN1		2	2	1525	0.1%	No
FCN2		2	2	1525	0.1%	No
ITPRIP		2	2	1525	0.1%	No
RASEF		2	2	1525	0.1%	No
OR2T10		3	3	597	0.5%	No
TATDN2		1	1	200	0.5%	No
SZT2		4	4	1725	0.2%	Yes
TRAPPC2L		4	4	1525	0.3%	No
H2AC6		2	2	1525	0.1%	Yes
MIGA1		2	2	1525	0.1%	No
NANOS3		1	1	200	0.5%	No
SHISA5		1	1	200	0.5%	No
ALG13		5	4	597	0.7%	No
ALG12		2	2	1525	0.1%	No
C2ORF15		2	2	1525	0.1%	No
ALG10		1	1	200	0.5%	No
SHISA7		2	2	1525	0.1%	No
PCDHA10		3	3	200	1.5%	No
SHISA6		2	2	1525	0.1%	No
MYCL		1	1	200	0.5%	Yes
PACRGL		3	3	1725	0.2%	No
MYCN		2	2	1525	0.1%	Yes
PRPF3		3	3	597	0.5%	No
RPS19BP1		1	1	150	0.7%	No
PRPF8		11	11	2122	0.5%	Yes
FBLN2		6	6	1525	0.4%	No
TRHDE		5	5	1525	0.3%	No
SCUBE2		1	1	200	0.5%	No
EFNB1		2	2	1525	0.1%	No
RPRD1B		3	3	1725	0.2%	No
RPRD1A		1	1	200	0.5%	No
POU2F1		2	2	1525	0.1%	No
RHBDD3		2	2	1525	0.1%	No
NKG7		1	1	200	0.5%	No
CRLS1		1	1	150	0.7%	No
EIF2S3		4	4	200	2.0%	No
TLX3		4	4	1525	0.3%	Yes
PI4KA		5	5	2122	0.2%	No
PI4KB		1	1	200	0.5%	No
MYF5		3	3	597	0.5%	No
MEGF10		6	6	2122	0.3%	No
SOWAHB		2	2	1525	0.1%	No
MEGF11		2	2	1525	0.1%	No
MIDEAS		1	1	200	0.5%	Yes
HAPLN3		1	1	200	0.5%	No
HK1		5	5	2122	0.2%	No
HK3		4	4	1525	0.3%	No
SIX4		1	1	200	0.5%	No
HJV		3	3	1725	0.2%	No
PPP2R5E		3	1	200	0.5%	No
MCF2L		2	2	1525	0.1%	No
SIX3		5	5	1725	0.3%	No
MYEOV		4	4	747	0.5%	No
RHBDF2		3	3	1725	0.2%	No
PPP2R5B		2	2	1525	0.1%	No
DNM1		1	1	200	0.5%	No
DNM2		3	3	597	0.5%	Yes
DNM3		2	2	1525	0.1%	No
MYH1		1	1	200	0.5%	No
MYH2		2	2	200	1.0%	No
MYH3		2	2	200	1.0%	No
RASA3		1	1	200	0.5%	No
TRAPPC6B		1	1	200	0.5%	No
RASA1		4	4	200	2.0%	Yes
RASA2		2	2	1525	0.1%	No
MYH8		1	1	200	0.5%	No
MYH4		1	1	200	0.5%	No
MYH6		4	4	597	0.7%	No
COLEC12		2	2	1525	0.1%	No
COLEC10		2	2	1525	0.1%	No
STOML1		1	1	200	0.5%	No
OR4K5		1	1	200	0.5%	No
C2ORF69		1	1	150	0.7%	No
ABRAXAS1		1	1	200	0.5%	Yes
BRAT1		1	1	150	0.7%	No
ABRAXAS2		1	1	200	0.5%	No
CIART		5	5	2122	0.2%	No
MAPK9		2	2	200	1.0%	No
MAPK8		1	1	200	0.5%	No
MAPK7		2	2	1525	0.1%	No
RNF113B		2	2	1525	0.1%	No
HLX		2	2	1525	0.1%	No
PPP2R3C		3	3	1725	0.2%	No
MAPK1		3	3	597	0.5%	Yes
MAPK4		2	2	1525	0.1%	No
C2ORF74		2	2	1525	0.1%	No
C2ORF78		2	1	200	0.5%	No
LIMK1		3	3	350	0.9%	No
PPP2R3A		3	3	1725	0.2%	No
WEE1		3	3	597	0.5%	No
WEE2		3	3	597	0.5%	No
PPP2R2B		5	5	2122	0.2%	No
C5ORF22		4	4	1525	0.3%	No
MAPKBP1		1	1	200	0.5%	No
C5ORF24		1	1	200	0.5%	No
CYBC1		2	2	1525	0.1%	No
PGAP3		3	3	1675	0.2%	No
MYLK		7	7	2122	0.3%	No
XYLB		1	1	200	0.5%	No
CCBE1		3	3	597	0.5%	No
RFX2		2	2	200	1.0%	No
MRTFB		1	1	200	0.5%	No
RFX3		3	3	597	0.5%	No
MRTFA		3	3	1725	0.2%	Yes
HDHD2		5	5	1725	0.3%	No
UPB1		2	2	1525	0.1%	No
PRAP1		2	2	1525	0.1%	No
OR6T1		1	1	200	0.5%	No
MYL4		2	2	1525	0.1%	No
MYL5		4	4	1525	0.3%	No
OPRPN		2	2	1525	0.1%	No
RIMOC1		2	2	1525	0.1%	No
RFX6		1	1	200	0.5%	No
MYL1		1	1	200	0.5%	No
RFX7		3	3	200	1.5%	No
RFX4		8	8	2122	0.4%	No
UQCRC1		1	1	200	0.5%	No
SPARCL1		3	3	1725	0.2%	No
MYL9		1	1	200	0.5%	No
CFAP20DC		3	3	597	0.5%	No
NYAP2		4	4	1525	0.3%	No
GIGYF2		14	14	2122	0.7%	No
NCAPH		4	4	200	2.0%	No
HSD11B1		1	1	200	0.5%	No
CYB5R4		2	2	1525	0.1%	No
MYO6		10	10	1875	0.5%	No
RHBDL3		2	2	1525	0.1%	No
RHBDL2		2	2	1525	0.1%	No
MYH7B		2	2	1525	0.1%	No
OR8B12		3	3	597	0.5%	No
GPR15		1	1	200	0.5%	No
BHMT		2	2	1525	0.1%	No
HRC		2	2	1525	0.1%	No
NOSTRIN		1	1	200	0.5%	No
LRRC36		1	1	200	0.5%	No
GPR21		1	1	200	0.5%	No
PTH1R		1	1	200	0.5%	No
JPH1		2	2	1525	0.1%	No
LRRC30		1	1	200	0.5%	No
LRRC31		1	1	200	0.5%	No
JPH2		2	2	1525	0.1%	No
OR6Y1		2	1	200	0.5%	No
NKRF		5	5	2122	0.2%	No
B3GALT1		2	2	1525	0.1%	No
C5ORF60		2	2	1525	0.1%	No
CGNL1		3	3	1725	0.2%	No
UPF2		1	1	200	0.5%	No
UPF1		3	3	597	0.5%	Yes
GPR37		2	2	1525	0.1%	No
MYOC		3	3	597	0.5%	No
GPR34		2	2	1525	0.1%	No
PGAM1		1	1	200	0.5%	No
PGAM2		1	1	200	0.5%	No
MYOF		3	3	200	1.5%	No
TMC8		5	5	1725	0.3%	No
PTGR3		4	4	1725	0.2%	No
LRRC43		4	4	597	0.7%	No
PTGR1		2	2	1525	0.1%	No
TMC5		2	2	1525	0.1%	No
TMC3		6	6	1525	0.4%	No
MYOT		2	2	200	1.0%	No
VN1R2		2	2	1525	0.1%	No
LRRC3B		1	1	200	0.5%	No
C5ORF52		2	2	1525	0.1%	No
LRRC15		6	6	2122	0.3%	No
KANK1		1	1	200	0.5%	No
LRRC17		1	1	200	0.5%	No
HTT		2	2	200	1.0%	No
LRRC10		2	2	1525	0.1%	No
GGA1		1	1	200	0.5%	No
EXTL2		2	2	200	1.0%	No
EXTL1		6	6	1525	0.4%	No
GPA33		5	5	1725	0.3%	No
LEO1		3	3	597	0.5%	No
ANO10		2	2	1525	0.1%	No
PRAME		2	2	1525	0.1%	No
BRD10		5	5	1725	0.3%	No
RABAC1		1	1	200	0.5%	No
EXTL3		2	2	1525	0.1%	No
NKTR		3	3	200	1.5%	No
ATRNL1		11	11	2122	0.5%	No
GPR55		1	1	200	0.5%	No
GPR50		1	1	200	0.5%	No
LETM1		1	1	200	0.5%	No
IGKJ1		1	1	200	0.5%	No
HSD17B7P2		1	1	200	0.5%	No
SH2D7		4	2	1525	0.1%	No
UPK2		2	2	1525	0.1%	No
GPR62		2	2	1525	0.1%	No
SLC9C1		3	3	1725	0.2%	No
RUVBL2		4	4	1725	0.2%	No
LEPR		2	2	200	1.0%	No
SH2D5		2	2	1525	0.1%	No
TCP11		1	1	150	0.7%	No
SLC38A1		1	1	200	0.5%	No
AGTPBP1		13	13	1525	0.9%	No
S100A1		1	1	200	0.5%	No
ZFP69B		1	1	200	0.5%	No
TNNI3K		4	4	1525	0.3%	No
MYT1		8	8	1525	0.5%	No
SLC9B1		3	3	1525	0.2%	No
FRMD3		4	4	1525	0.3%	No
SLC9A3		2	2	1525	0.1%	No
SLC9A5		4	4	1525	0.3%	No
OLFM3		1	1	200	0.5%	No
FRMD6		1	1	200	0.5%	No
TXLNB		2	2	1525	0.1%	No
SLC9A6		1	1	200	0.5%	No
SAP25		2	2	1525	0.1%	No
SLC9A8		2	2	200	1.0%	No
MRTO4		1	1	200	0.5%	No
SLC9A9		3	3	200	1.5%	No
ANAPC4		4	4	200	2.0%	No
MAPKAPK5		1	1	200	0.5%	No
SNRNP200		3	3	597	0.5%	No
ANAPC1		4	4	1525	0.3%	No
KANK4		3	3	1725	0.2%	No
LRRC58		3	3	597	0.5%	No
GPR87		2	2	1525	0.1%	No
GPR88		1	1	200	0.5%	No
GPR83		2	2	1525	0.1%	No
GPR84		2	2	1525	0.1%	No
LRRC55		2	2	1525	0.1%	No
SLC38A7		2	2	1525	0.1%	No
SLC38A6		3	3	597	0.5%	No
SLC38A2		2	2	200	1.0%	No
SLC38A4		1	1	200	0.5%	No
B3GALT4		1	1	200	0.5%	No
LRRC61		1	1	150	0.7%	No
B3GALT5		3	3	597	0.5%	No
LRRC63		2	2	1525	0.1%	No
LY75-CD302		3	3	200	1.5%	No
GNL3L		2	2	1525	0.1%	No
LRIT2		3	3	350	0.9%	No
LRIT1		4	4	597	0.7%	No
NFE2L3		4	4	1525	0.3%	No
NFE2L1		1	1	200	0.5%	No
CALR3		2	2	1525	0.1%	No
CRYBG1		2	2	1525	0.1%	No
EFCAB12		6	6	2122	0.3%	No
EFCAB11		1	1	200	0.5%	No
FCGR3A		1	1	200	0.5%	No
ATP7B		6	6	1725	0.3%	No
PRB1		1	1	200	0.5%	No
PRB3		6	6	1525	0.4%	No
PMEPA1		1	1	150	0.7%	No
PDILT		4	3	1725	0.2%	No
UPP2		1	1	200	0.5%	No
ATP7A		2	2	1525	0.1%	No
DNM1L		1	1	200	0.5%	No
TMCO5A		3	3	597	0.5%	No
KSR1		2	2	1525	0.1%	No
OVCH2		2	2	1525	0.1%	No
SIGMAR1		1	1	150	0.7%	No
VEZF1		2	2	1525	0.1%	No
KSR2		5	5	2122	0.2%	Yes
DDOST		1	1	200	0.5%	No
GIGYF1		3	3	1725	0.2%	No
L3MBTL4		1	1	200	0.5%	No
GTF3C1		4	4	1725	0.2%	No
GTF3C3		6	6	1525	0.4%	No
SEC23A		1	1	200	0.5%	No
FOCAD		1	1	200	0.5%	No
GTF3C4		2	2	1525	0.1%	No
USH1C		2	2	822	0.2%	No
PPM1D		7	7	1675	0.4%	Yes
TP53INP1		3	3	1725	0.2%	No
SH3BP2		1	1	200	0.5%	No
SH3BP5		1	1	200	0.5%	No
SH3BP4		3	3	597	0.5%	No
BEND4		2	2	1525	0.1%	No
LRRC8A		2	2	1525	0.1%	No
SH2B3		3	3	597	0.5%	Yes
ATP9B		1	1	200	0.5%	No
SEC23B		2	2	150	1.3%	No
SH2B2		3	3	1725	0.2%	No
ATP9A		1	1	200	0.5%	No
SH2B1		1	1	200	0.5%	No
SLC12A2		4	4	1725	0.2%	No
CYB5B		2	2	1525	0.1%	No
SLC12A3		3	3	597	0.5%	No
SEC24A		5	5	1525	0.3%	No
SLC12A5		2	2	1525	0.1%	No
SLC12A1		7	7	2122	0.3%	No
ERAP1		2	2	1525	0.1%	No
MBOAT1		4	4	597	0.7%	No
IMMT		2	2	350	0.6%	No
MBOAT4		4	4	1525	0.3%	No
TPD52L2		1	1	200	0.5%	No
USH2A		4	4	350	1.1%	No
MCOLN2		1	1	200	0.5%	No
CTCFL		2	2	1525	0.1%	No
DOP1B		6	6	597	1.0%	No
PRC1		2	2	1525	0.1%	No
NOVA2		2	2	1525	0.1%	No
DOP1A		8	8	1725	0.5%	No
NT5C1B		2	2	1525	0.1%	No
SEC24C		1	1	200	0.5%	No
SMAP1		1	1	200	0.5%	No
ZAN		2	2	200	1.0%	No
PREP		2	2	200	1.0%	No
JMJD1C		5	5	2122	0.2%	No
RASSF1		1	1	200	0.5%	No
SLC12A7		2	2	1525	0.1%	No
PAQR9		2	2	1525	0.1%	No
IMP3		4	4	1525	0.3%	No
PAQR3		2	2	1525	0.1%	No
PPP1R3C		2	2	1525	0.1%	No
PREB		1	1	200	0.5%	No
L3MBTL1		1	1	200	0.5%	No
PCDH10		2	2	1525	0.1%	No
PCDH15		8	8	2122	0.4%	No
PRH2		3	3	1725	0.2%	No
PPP1R3A		9	9	2122	0.4%	No
BRCC3		19	19	2122	0.9%	No
PCDH12		3	3	1725	0.2%	No
PCDH19		1	1	200	0.5%	No
PCDH18		4	4	1525	0.3%	No
PCDH17		5	5	1725	0.3%	No
ZMPSTE24		1	1	200	0.5%	No
